"Source","DisplayName","ModuleId","Version","Path","HasRootSubModuleXml","HasBinWin64","BinNonEmpty","HasDeclaredDllName","DeclaredDllName","DllExistsExpected","SubModuleClassType","DependedModules","IncompatibleModules","IsOfficial","DuplicateId","WorkshopId","FolderName"
"workshop","RTS Camera Command System","RTSCamera.CommandSystem","v5.3.25","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3596693285","True","True","True","True","RTSCamera.CommandSystem.dll","True","RTSCamera.CommandSystem.CommandSystemSubModule","Native;SandBoxCore;Sandbox;CustomBattle;StoryMode",,"False","False","3596693285","3596693285"
"workshop","Retinues","Retinues","v1.3.14.27","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3599557394","True","True","True","True","Retinues.dll","True","Retinues.SubModule","Bannerlord.Harmony;Bannerlord.UIExtenderEx;Native;SandBoxCore;Sandbox",,"False","False","3599557394","3599557394"
"workshop","Unblockable Thrust","UnblockableThrust","v1.1.3.1","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3614435151","True","True","True","True","UnblockableThrust.dll","True","UnblockableThrust.UnblockableThrustSubmodule","Native;SandBoxCore;Sandbox;CustomBattle;StoryMode;Bannerlord.Harmony;Bannerlord.MBOptionScreen",,"False","False","3614435151","3614435151"
"workshop","Bannerlord: Take All Perks","BannerlordTakeAllPerks","v1.3.0","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3617286010","True","True","True","True","BannerlordTakeAllPerks.dll","True","BannerlordTakeAllPerks.SubModule","",,"False","False","3617286010","3617286010"
"workshop","BannerPigeon","BannerPigeon","v1.5.5","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3617335871","True","True","True","True","BannerPigeon.dll","True","BannerPigeon.SubModule","Native;SandBoxCore;Sandbox;StoryMode",,"False","False","3617335871","3617335871"
"workshop","Faster Child Growth","faster_child_growth","v1.0.0","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3618489007","True","True","True","True","FasterChildGrowth.dll","True","FasterChildGrowth.SubModule","Native;SandBoxCore;Sandbox;StoryMode",,"False","False","3618489007","3618489007"
"workshop","Clan Armies","ClanArmies","v1.2.3.0","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3618752412","True","True","True","True","ClanArmies.dll","True","ClanArmies.ClanArmiesSubModule","Bannerlord.Harmony;Native;SandBoxCore;Sandbox",,"False","False","3618752412","3618752412"
"workshop","Army Fleets","ArmyFleets","v1.0.0.0","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3619429143","True","True","True","True","ArmyFleets.dll","True","ArmyFleets.ArmyFleetsSubModule","Bannerlord.Harmony;Native;SandBoxCore;Sandbox;NavalDLC",,"False","False","3619429143","3619429143"
"workshop","Party AI Controls","PartyAIControls","v1.3.13","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3620272139","True","True","True","True","PartyAIUpdated.dll","True","PartyAIControls.SubModule","Native;SandBoxCore;Sandbox;StoryMode;Bannerlord.Harmony;Bannerlord.UIExtenderEx",,"False","False","3620272139","3620272139"
"workshop","(RBM WS) Realistic Battle Mod War Sails Submod","RBM_WS","v4.2.23","C:\Program Files (x86)\Steam\steamapps\workshop\content\261550\3635788184","True","False","False","False","","False","","Native;SandBoxCore;Sandbox;StoryMode;CustomBattle;BirthAndDeath;NavalDLC;RBM;RTSCamera;RTSCamera.CommandSystem",,"False","False","3635788184","3635788184"
